Frame,Left Shoulder_x,Left Shoulder_y,Left hip_x,Left hip_y,Left Knee_x,Left Knee_y,Left foot_x,Left foot_y
71,353.3125,292.1875,357.5625,515.3125,259.8125,710.8125,259.8125,923.3125
72,325.6875,294.3125,321.4375,528.0625,242.8125,704.4375,185.4375,927.5625
73,295.9375,298.5625,308.6875,521.6875,213.0625,727.8125,138.6875,927.5625
74,266.1875,298.5625,278.9375,530.1875,191.8125,717.1875,119.5625,931.8125
75,238.5625,300.6875,244.9375,528.0625,159.9375,734.1875,113.1875,938.1875
76,213.0625,298.5625,217.3125,528.0625,134.4375,738.4375,106.8125,938.1875
77,213.0625,298.5625,217.3125,528.0625,134.4375,738.4375,106.8125,938.1875
78,185.4375,294.3125,185.4375,536.5625,113.1875,738.4375,104.6875,938.1875
79,155.6875,292.1875,159.9375,534.4375,98.3125,738.4375,104.6875,938.1875
80,132.3125,285.8125,138.6875,532.3125,89.8125,738.4375,102.5625,940.3125
81,108.9375,283.6875,117.4375,532.3125,83.4375,736.3125,102.5625,940.3125
82,83.4375,279.4375,94.0625,523.8125,72.8125,719.3125,102.5625,936.0625
83,83.4375,279.4375,96.1875,523.8125,72.8125,719.3125,102.5625,936.0625
84,55.8125,277.3125,83.4375,521.6875,-33.4375,670.4375,102.5625,938.1875
85,32.4375,283.6875,49.4375,528.0625,-12.1875,732.0625,104.6875,938.1875
86,9.0625,290.0625,19.6875,521.6875,57.9375,740.5625,104.6875,936.0625
87,-1.5625,298.5625,-12.1875,538.6875,43.0625,740.5625,102.5625,936.0625
88,-7.9375,298.5625,-41.9375,538.6875,30.3125,744.8125,102.5625,933.9375
89,-7.9375,296.4375,-39.8125,545.0625,30.3125,744.8125,102.5625,933.9375
